match_id,batting_team,bowling_team,venue,pitch_type,pitch_condition,current_score,overs_completed,wickets_out,runs_last_5_overs,overs_remaining,wickets_remaining,run_rate,season,final_score
1,CSK,RCB,Rajiv Gandhi Stadium,Balanced,Dry,133,12,5,68,8,5,11.08,2024,229
2,SRH,DC,Rajiv Gandhi Stadium,Batting Friendly,Dry,76,16,3,55,4,7,4.75,2012,119
3,SRH,PBKS,Rajiv Gandhi Stadium,Balanced,Green,126,13,6,32,7,4,9.69,2017,195
4,PBKS,RR,Wankhede Stadium,Batting Friendly,Dusty,65,13,0,48,7,10,5.0,2018,122
5,PBKS,GT,Sawai Mansingh Stadium,Bowling Friendly,Green,32,5,4,57,15,6,6.4,2020,115
6,MI,RCB,Arun Jaitley Stadium,Batting Friendly,Dusty,163,15,2,32,5,8,10.87,2012,268
7,RR,RCB,Narendra Modi Stadium,Bowling Friendly,Green,49,7,1,77,13,9,7.0,2009,154
8,SRH,GT,Chinnaswamy Stadium,Bowling Friendly,Green,79,16,3,69,4,7,4.94,2024,102
9,RCB,CSK,Eden Gardens,Balanced,Dusty,47,7,3,57,13,7,6.71,2024,155
10,MI,GT,Wankhede Stadium,Balanced,Hard,167,17,9,20,3,1,9.82,2013,179
11,CSK,RCB,Chinnaswamy Stadium,Balanced,Hard,135,16,8,33,4,2,8.44,2021,157
12,MI,LSG,Arun Jaitley Stadium,Bowling Friendly,Hard,102,18,0,21,2,10,5.67,2018,114
13,CSK,SRH,Chinnaswamy Stadium,Batting Friendly,Flat,24,5,1,60,15,9,4.8,2019,146
14,GT,DC,Chepauk Stadium,Bowling Friendly,Flat,56,10,1,67,10,9,5.6,2020,136
15,CSK,MI,Rajiv Gandhi Stadium,Bowling Friendly,Flat,48,6,2,15,14,8,8.0,2013,174
16,GT,PBKS,Chinnaswamy Stadium,Balanced,Flat,75,7,0,21,13,10,10.71,2009,270
17,MI,PBKS,Wankhede Stadium,Balanced,Flat,83,16,1,43,4,9,5.19,2015,109
18,DC,RR,Arun Jaitley Stadium,Batting Friendly,Green,103,8,7,52,12,3,12.88,2014,267
19,RR,DC,Eden Gardens,Batting Friendly,Green,163,15,0,37,5,10,10.87,2023,267
20,CSK,SRH,Sawai Mansingh Stadium,Batting Friendly,Dry,89,8,8,69,12,2,11.12,2013,215
21,RR,DC,Rajiv Gandhi Stadium,Balanced,Dry,26,6,8,71,14,2,4.33,2012,67
